,smog_original,smog_student,smog_teacher_both,smog_teacher_without_corpus,fkgl_original,fkgl_student,fkgl_teacher_both,fkgl_teacher_without_corpus,our_score_student,our_score_teacher_both,our_score_teacher_without_corpus,lowest_smog,lowest_fkgl,highest_our_score
0,13.023866798666859,8.841846274778883,13.023866798666859,8.841846274778883,12.831111111111113,6.010000000000002,8.541538461538462,7.368571428571428,0.38095238095238093,0.15873015873015872,0.38095238095238093,smog_student,fkgl_student,our_score_student
1,13.023866798666859,8.841846274778883,3.1291,8.841846274778883,10.713333333333338,5.041428571428572,2.342222222222226,7.818888888888889,0.2777777777777778,0.2777777777777778,0.14141414141414144,smog_teacher_both,fkgl_teacher_both,our_score_student
2,8.841846274778883,8.841846274778883,8.841846274778883,11.20814326018867,7.566666666666666,6.705000000000002,3.653333333333336,7.818888888888889,0.4,0.0,-0.09999999999999998,smog_original,fkgl_teacher_both,our_score_student
3,13.023866798666859,8.841846274778883,8.841846274778883,11.20814326018867,10.154545454545456,4.823333333333334,6.936363636363637,9.081818181818182,0.0793650793650793,-0.23232323232323238,-0.1777777777777778,smog_student,fkgl_student,our_score_student
4,13.023866798666859,3.1291,3.1291,8.841846274778883,12.690000000000001,4.662500000000001,1.2900000000000027,6.726153846153846,0.42500000000000004,-0.175,0.06944444444444442,smog_student,fkgl_teacher_both,our_score_student
5,13.023866798666859,8.841846274778883,8.841846274778883,3.1291,11.520000000000003,4.450000000000003,6.2755555555555596,0.5199999999999996,0.0357142857142857,0.08571428571428574,-0.7142857142857143,smog_teacher_without_corpus,fkgl_teacher_without_corpus,our_score_teacher_both
6,7.168621630094336,8.841846274778883,3.1291,8.841846274778883,2.829615384615387,8.474444444444444,6.8750000000000036,9.284347826086957,0.3412698412698413,0.23015873015873015,0.36904761904761907,smog_teacher_both,fkgl_original,our_score_teacher_without_corpus
7,17.122413403193683,13.023866798666859,11.20814326018867,14.554592549557764,14.646666666666672,8.009090909090911,6.780000000000001,10.500000000000004,0.10000000000000003,0.2,0.4272727272727273,smog_teacher_both,fkgl_teacher_both,our_score_teacher_without_corpus
8,15.903189008614273,8.841846274778883,8.841846274778883,11.20814326018867,14.798947368421054,6.790000000000003,6.936363636363637,6.790000000000003,0.39999999999999997,0.23333333333333334,0.35833333333333334,smog_student,fkgl_student,our_score_student
9,8.841846274778883,3.1291,11.20814326018867,3.1291,5.400000000000002,5.206666666666667,7.58666666666667,4.662500000000001,-0.011363636363636354,-0.13636363636363635,-0.19191919191919193,smog_student,fkgl_teacher_without_corpus,our_score_student
10,8.841846274778883,3.1291,13.023866798666859,3.1291,2.342222222222226,2.342222222222226,8.009090909090911,2.280000000000001,0.3333333333333333,0.4166666666666667,0.26666666666666666,smog_student,fkgl_teacher_without_corpus,our_score_teacher_both
11,13.023866798666859,11.20814326018867,3.1291,8.841846274778883,12.605000000000004,8.89777777777778,4.790909090909089,6.2755555555555596,-0.0535714285714286,-0.125,-0.025000000000000022,smog_teacher_both,fkgl_teacher_both,our_score_teacher_without_corpus
12,13.023866798666859,8.841846274778883,8.841846274778883,3.1291,16.25,5.682857142857145,5.230000000000004,3.653333333333336,0.5,0.3333333333333333,0.3333333333333333,smog_teacher_without_corpus,fkgl_teacher_without_corpus,our_score_student
13,13.023866798666859,11.20814326018867,8.841846274778883,10.504223727775692,9.140000000000004,5.230000000000004,5.240000000000002,12.83545454545455,0.3333333333333333,0.4166666666666667,0.16666666666666669,smog_teacher_both,fkgl_student,our_score_teacher_both
14,13.023866798666859,3.1291,3.1291,3.1291,9.255714285714287,3.0953846153846136,6.726153846153846,4.823333333333334,0.2142857142857143,0.19999999999999996,0.125,smog_student,fkgl_student,our_score_student
15,11.20814326018867,8.841846274778883,11.20814326018867,8.841846274778883,10.740000000000002,7.58666666666667,8.412857142857145,5.230000000000004,0.4666666666666666,0.1333333333333333,0.4666666666666666,smog_student,fkgl_teacher_without_corpus,our_score_student
16,8.841846274778883,11.20814326018867,3.1291,3.1291,9.96,6.416666666666668,0.7199999999999989,-2.2299999999999986,0.5,-0.5,0.0,smog_teacher_both,fkgl_teacher_without_corpus,our_score_student
17,13.023866798666859,8.841846274778883,8.841846274778883,13.023866798666859,14.283333333333335,5.863636363636363,5.682857142857145,10.208888888888893,1.0,0.5,0.5,smog_student,fkgl_teacher_both,our_score_student
18,8.841846274778883,8.841846274778883,11.20814326018867,3.1291,4.830000000000002,5.863636363636363,10.441111111111113,4.830000000000002,0.5,0.12820512820512825,0.09523809523809523,smog_teacher_without_corpus,fkgl_original,our_score_student
19,3.1291,3.1291,8.841846274778883,3.1291,2.4833333333333343,2.3114285714285714,8.180000000000003,4.91076923076923,0.0,-0.08333333333333337,-0.25,smog_original,fkgl_student,our_score_student
20,3.1291,3.1291,8.841846274778883,8.841846274778883,3.633333333333333,3.653333333333336,6.507777777777779,5.206666666666667,-0.25,0.2777777777777778,-0.125,smog_original,fkgl_original,our_score_teacher_both
21,15.903189008614273,8.841846274778883,11.20814326018867,11.20814326018867,15.15571428571429,7.368571428571428,8.383333333333333,7.566666666666666,0.0444444444444444,0.0444444444444444,0.11111111111111105,smog_student,fkgl_student,our_score_teacher_without_corpus
22,11.20814326018867,8.841846274778883,8.841846274778883,8.841846274778883,8.383333333333333,5.240000000000002,6.620000000000001,4.450000000000003,0.16666666666666663,0.16666666666666663,0.0,smog_student,fkgl_teacher_without_corpus,our_score_student
