"train/global_step","./llama_qwen_results_packing - _step","./llama_qwen_results_packing - _step__MIN","./llama_qwen_results_packing - _step__MAX","./llama_qwen_results_packing - eval/loss","./llama_qwen_results_packing - eval/loss__MIN","./llama_qwen_results_packing - eval/loss__MAX"
"17550","701","701","701","1.8099613189697266","1.8099613189697266","1.8099613189697266"
"17600","703","703","703","1.8102121353149414","1.8102121353149414","1.8102121353149414"
"17650","705","705","705","1.804476261138916","1.804476261138916","1.804476261138916"
"17700","707","707","707","1.8023333549499512","1.8023333549499512","1.8023333549499512"
"17750","709","709","709","1.814476490020752","1.814476490020752","1.814476490020752"
"17800","711","711","711","1.800500750541687","1.800500750541687","1.800500750541687"
"17850","713","713","713","1.8149758577346802","1.8149758577346802","1.8149758577346802"
"17900","715","715","715","1.8312909603118896","1.8312909603118896","1.8312909603118896"
"17950","717","717","717","1.8267579078674316","1.8267579078674316","1.8267579078674316"
"18000","719","719","719","1.8305459022521973","1.8305459022521973","1.8305459022521973"
"18050","721","721","721","1.827191948890686","1.827191948890686","1.827191948890686"
"18100","723","723","723","1.8153058290481567","1.8153058290481567","1.8153058290481567"
"18150","725","725","725","1.8287274837493896","1.8287274837493896","1.8287274837493896"
"18200","727","727","727","1.8128715753555298","1.8128715753555298","1.8128715753555298"
"18250","729","729","729","1.8323222398757935","1.8323222398757935","1.8323222398757935"
"18300","731","731","731","1.8387691974639893","1.8387691974639893","1.8387691974639893"
"18350","733","733","733","1.8326412439346313","1.8326412439346313","1.8326412439346313"
"18400","735","735","735","1.8292770385742188","1.8292770385742188","1.8292770385742188"
