"train/global_step","./llama_results_packing - _step","./llama_results_packing - _step__MIN","./llama_results_packing - _step__MAX","./llama_results_packing - eval/loss","./llama_results_packing - eval/loss__MIN","./llama_results_packing - eval/loss__MAX"
"3200","127","127","127","1.662343144416809","1.662343144416809","1.662343144416809"
"3250","129","129","129","1.6593652963638306","1.6593652963638306","1.6593652963638306"
"3300","131","131","131","1.6604467630386353","1.6604467630386353","1.6604467630386353"
"3350","133","133","133","1.6608202457427979","1.6608202457427979","1.6608202457427979"
"3400","135","135","135","1.6609492301940918","1.6609492301940918","1.6609492301940918"
"3450","137","137","137","1.6627589464187622","1.6627589464187622","1.6627589464187622"
"3500","139","139","139","1.6585766077041626","1.6585766077041626","1.6585766077041626"
"3550","141","141","141","1.6610838174819946","1.6610838174819946","1.6610838174819946"
"3600","143","143","143","1.6610721349716187","1.6610721349716187","1.6610721349716187"
"3650","145","145","145","1.6595643758773804","1.6595643758773804","1.6595643758773804"
"3700","147","147","147","1.6589936017990112","1.6589936017990112","1.6589936017990112"
"3750","149","149","149","1.6618149280548096","1.6618149280548096","1.6618149280548096"
"3800","151","151","151","1.6677031517028809","1.6677031517028809","1.6677031517028809"
"3850","153","153","153","1.66922128200531","1.66922128200531","1.66922128200531"
"3900","155","155","155","1.6765655279159546","1.6765655279159546","1.6765655279159546"
"3950","157","157","157","1.6697219610214233","1.6697219610214233","1.6697219610214233"
"4000","159","159","159","1.6720311641693115","1.6720311641693115","1.6720311641693115"
"4050","161","161","161","1.6706384420394897","1.6706384420394897","1.6706384420394897"
"4100","163","163","163","1.667070984840393","1.667070984840393","1.667070984840393"
"4150","165","165","165","1.6691652536392212","1.6691652536392212","1.6691652536392212"
"4200","167","167","167","1.6708576679229736","1.6708576679229736","1.6708576679229736"
"4250","169","169","169","1.6631598472595215","1.6631598472595215","1.6631598472595215"
"4300","171","171","171","1.6687054634094238","1.6687054634094238","1.6687054634094238"
"4350","173","173","173","1.66468346118927","1.66468346118927","1.66468346118927"
"4400","175","175","175","1.664469599723816","1.664469599723816","1.664469599723816"
"4450","177","177","177","1.6671775579452515","1.6671775579452515","1.6671775579452515"
"4500","179","179","179","1.6692864894866943","1.6692864894866943","1.6692864894866943"
"4550","181","181","181","1.664294719696045","1.664294719696045","1.664294719696045"
"4600","183","183","183","1.6646273136138916","1.6646273136138916","1.6646273136138916"
"4650","185","185","185","1.6678770780563354","1.6678770780563354","1.6678770780563354"
"4700","187","187","187","1.666305422782898","1.666305422782898","1.666305422782898"
"4750","189","189","189","1.6652531623840332","1.6652531623840332","1.6652531623840332"
"4800","191","191","191","1.6630769968032837","1.6630769968032837","1.6630769968032837"
"4850","193","193","193","1.664944052696228","1.664944052696228","1.664944052696228"
"4900","195","195","195","1.6685550212860107","1.6685550212860107","1.6685550212860107"
"4950","197","197","197","1.661295771598816","1.661295771598816","1.661295771598816"
"5000","199","199","199","1.6669926643371582","1.6669926643371582","1.6669926643371582"
"5050","201","201","201","1.677253007888794","1.677253007888794","1.677253007888794"
"5100","203","203","203","1.6718568801879883","1.6718568801879883","1.6718568801879883"
"5150","205","205","205","1.674519658088684","1.674519658088684","1.674519658088684"
"5200","207","207","207","1.6753005981445312","1.6753005981445312","1.6753005981445312"
"5250","209","209","209","1.6682090759277344","1.6682090759277344","1.6682090759277344"
"5300","211","211","211","1.667891263961792","1.667891263961792","1.667891263961792"
"5350","213","213","213","1.6770732402801514","1.6770732402801514","1.6770732402801514"
"5400","215","215","215","1.6749767065048218","1.6749767065048218","1.6749767065048218"
"5450","217","217","217","1.6782575845718384","1.6782575845718384","1.6782575845718384"
"5500","219","219","219","1.6779786348342896","1.6779786348342896","1.6779786348342896"
"5550","221","221","221","1.6771072149276733","1.6771072149276733","1.6771072149276733"
"5600","223","223","223","1.6777541637420654","1.6777541637420654","1.6777541637420654"
"5650","225","225","225","1.6747416257858276","1.6747416257858276","1.6747416257858276"
"5700","227","227","227","1.678473711013794","1.678473711013794","1.678473711013794"
"5750","229","229","229","1.674751877784729","1.674751877784729","1.674751877784729"
"5800","231","231","231","1.6772692203521729","1.6772692203521729","1.6772692203521729"
"5850","233","233","233","1.677383303642273","1.677383303642273","1.677383303642273"
"5900","235","235","235","1.6745498180389404","1.6745498180389404","1.6745498180389404"
"5950","237","237","237","1.6753724813461304","1.6753724813461304","1.6753724813461304"
"6000","239","239","239","1.6739528179168701","1.6739528179168701","1.6739528179168701"
"6050","241","241","241","1.6752055883407593","1.6752055883407593","1.6752055883407593"
"6100","243","243","243","1.67208993434906","1.67208993434906","1.67208993434906"
"6150","245","245","245","1.6729189157485962","1.6729189157485962","1.6729189157485962"
"6200","247","247","247","1.6701775789260864","1.6701775789260864","1.6701775789260864"
"6250","249","249","249","1.6742850542068481","1.6742850542068481","1.6742850542068481"
"6300","251","251","251","1.6827160120010376","1.6827160120010376","1.6827160120010376"
"6350","253","253","253","1.682509183883667","1.682509183883667","1.682509183883667"
"6400","255","255","255","1.6810004711151123","1.6810004711151123","1.6810004711151123"
"6450","257","257","257","1.682045817375183","1.682045817375183","1.682045817375183"
"6500","259","259","259","1.680391550064087","1.680391550064087","1.680391550064087"
"6550","261","261","261","1.6775873899459839","1.6775873899459839","1.6775873899459839"
"6600","263","263","263","1.6746925115585327","1.6746925115585327","1.6746925115585327"
"6650","265","265","265","1.6811118125915527","1.6811118125915527","1.6811118125915527"
"6700","267","267","267","1.695916771888733","1.695916771888733","1.695916771888733"
"6750","269","269","269","1.6932331323623657","1.6932331323623657","1.6932331323623657"
"6800","271","271","271","1.6898725032806396","1.6898725032806396","1.6898725032806396"
"6850","273","273","273","1.6913180351257324","1.6913180351257324","1.6913180351257324"
"6900","275","275","275","1.691141128540039","1.691141128540039","1.691141128540039"
"6950","277","277","277","1.6926428079605103","1.6926428079605103","1.6926428079605103"
"7000","279","279","279","1.6930993795394897","1.6930993795394897","1.6930993795394897"
"7050","281","281","281","1.688684105873108","1.688684105873108","1.688684105873108"
"7100","283","283","283","1.6903928518295288","1.6903928518295288","1.6903928518295288"
"7150","285","285","285","1.6878355741500854","1.6878355741500854","1.6878355741500854"
"7200","287","287","287","1.6857844591140747","1.6857844591140747","1.6857844591140747"
"7250","289","289","289","1.6851660013198853","1.6851660013198853","1.6851660013198853"
"7300","291","291","291","1.682142734527588","1.682142734527588","1.682142734527588"
"7350","293","293","293","1.686739206314087","1.686739206314087","1.686739206314087"
"7400","295","295","295","1.6831104755401611","1.6831104755401611","1.6831104755401611"
"7450","297","297","297","1.6823073625564575","1.6823073625564575","1.6823073625564575"
"7500","299","299","299","1.684293508529663","1.684293508529663","1.684293508529663"
"7550","301","301","301","1.6858985424041748","1.6858985424041748","1.6858985424041748"
"7600","303","303","303","1.689592957496643","1.689592957496643","1.689592957496643"
"7650","305","305","305","1.6932768821716309","1.6932768821716309","1.6932768821716309"
"7700","307","307","307","1.6899712085723877","1.6899712085723877","1.6899712085723877"
"7750","309","309","309","1.6925448179244995","1.6925448179244995","1.6925448179244995"
"7800","311","311","311","1.6918185949325562","1.6918185949325562","1.6918185949325562"
"7850","313","313","313","1.6894183158874512","1.6894183158874512","1.6894183158874512"
"7900","315","315","315","1.6899182796478271","1.6899182796478271","1.6899182796478271"
"7950","317","317","317","1.7211500406265259","1.7211500406265259","1.7211500406265259"
"8000","319","319","319","1.7205454111099243","1.7205454111099243","1.7205454111099243"
"8050","321","321","321","1.708592414855957","1.708592414855957","1.708592414855957"
"8100","323","323","323","1.7109169960021973","1.7109169960021973","1.7109169960021973"
"8150","325","325","325","1.705883264541626","1.705883264541626","1.705883264541626"
"8200","327","327","327","1.7078771591186523","1.7078771591186523","1.7078771591186523"
"8250","329","329","329","1.7062618732452393","1.7062618732452393","1.7062618732452393"
"8300","331","331","331","1.7145156860351562","1.7145156860351562","1.7145156860351562"
"8350","333","333","333","1.697350025177002","1.697350025177002","1.697350025177002"
"8400","335","335","335","1.699636459350586","1.699636459350586","1.699636459350586"
"8450","337","337","337","1.6988681554794312","1.6988681554794312","1.6988681554794312"
"8500","339","339","339","1.6947574615478516","1.6947574615478516","1.6947574615478516"
"8550","341","341","341","1.6976268291473389","1.6976268291473389","1.6976268291473389"
"8600","343","343","343","1.7013932466506958","1.7013932466506958","1.7013932466506958"
"8650","345","345","345","1.6970734596252441","1.6970734596252441","1.6970734596252441"
"8700","347","347","347","1.6937572956085205","1.6937572956085205","1.6937572956085205"
"8750","349","349","349","1.7004905939102173","1.7004905939102173","1.7004905939102173"
"8800","351","351","351","1.6974173784255981","1.6974173784255981","1.6974173784255981"
"8850","353","353","353","1.6988478899002075","1.6988478899002075","1.6988478899002075"
"8900","355","355","355","1.6992167234420776","1.6992167234420776","1.6992167234420776"
"8950","357","357","357","1.7047277688980103","1.7047277688980103","1.7047277688980103"
"9000","359","359","359","1.6961042881011963","1.6961042881011963","1.6961042881011963"
"9050","361","361","361","1.6964081525802612","1.6964081525802612","1.6964081525802612"
"9100","363","363","363","1.7000521421432495","1.7000521421432495","1.7000521421432495"
"9150","365","365","365","1.7036436796188354","1.7036436796188354","1.7036436796188354"
"9200","367","367","367","1.7228050231933594","1.7228050231933594","1.7228050231933594"
"9250","369","369","369","1.727728247642517","1.727728247642517","1.727728247642517"
"9300","371","371","371","1.7385163307189941","1.7385163307189941","1.7385163307189941"
"9350","373","373","373","1.7382456064224243","1.7382456064224243","1.7382456064224243"
"9400","375","375","375","1.733837366104126","1.733837366104126","1.733837366104126"
"9450","377","377","377","1.7300621271133423","1.7300621271133423","1.7300621271133423"
"9500","379","379","379","1.7267435789108276","1.7267435789108276","1.7267435789108276"
"9550","381","381","381","1.7259557247161865","1.7259557247161865","1.7259557247161865"
"9600","383","383","383","1.7229828834533691","1.7229828834533691","1.7229828834533691"
"9650","385","385","385","1.7187602519989014","1.7187602519989014","1.7187602519989014"
"9700","387","387","387","1.7181915044784546","1.7181915044784546","1.7181915044784546"
"9750","389","389","389","1.718615174293518","1.718615174293518","1.718615174293518"
"9800","391","391","391","1.713335633277893","1.713335633277893","1.713335633277893"
"9850","393","393","393","1.7081760168075562","1.7081760168075562","1.7081760168075562"
"9900","395","395","395","1.7067313194274902","1.7067313194274902","1.7067313194274902"
"9950","397","397","397","1.7096399068832397","1.7096399068832397","1.7096399068832397"
"10000","399","399","399","1.7171193361282349","1.7171193361282349","1.7171193361282349"
"10050","401","401","401","1.7127643823623657","1.7127643823623657","1.7127643823623657"
"10100","403","403","403","1.7104086875915527","1.7104086875915527","1.7104086875915527"
"10150","405","405","405","1.7103766202926636","1.7103766202926636","1.7103766202926636"
"10200","407","407","407","1.709917426109314","1.709917426109314","1.709917426109314"
"10250","409","409","409","1.7093708515167236","1.7093708515167236","1.7093708515167236"
"10300","411","411","411","1.713823676109314","1.713823676109314","1.713823676109314"
"10350","413","413","413","1.7116488218307495","1.7116488218307495","1.7116488218307495"
"10400","415","415","415","1.715671181678772","1.715671181678772","1.715671181678772"
"10450","417","417","417","1.748755931854248","1.748755931854248","1.748755931854248"
"10500","419","419","419","1.7426764965057373","1.7426764965057373","1.7426764965057373"
"10550","421","421","421","1.7463979721069336","1.7463979721069336","1.7463979721069336"
"10600","423","423","423","1.7479993104934692","1.7479993104934692","1.7479993104934692"
"10650","425","425","425","1.7433475255966187","1.7433475255966187","1.7433475255966187"
"10700","427","427","427","1.7461131811141968","1.7461131811141968","1.7461131811141968"
"10750","429","429","429","1.739886999130249","1.739886999130249","1.739886999130249"
"10800","431","431","431","1.7419854402542114","1.7419854402542114","1.7419854402542114"
"10850","433","433","433","1.7272361516952515","1.7272361516952515","1.7272361516952515"
