"train/global_step","./llama_gpt_results_packing - _step","./llama_gpt_results_packing - _step__MIN","./llama_gpt_results_packing - _step__MAX","./llama_gpt_results_packing - eval/loss","./llama_gpt_results_packing - eval/loss__MIN","./llama_gpt_results_packing - eval/loss__MAX"
"1850","73","73","73","1.7347970008850098","1.7347970008850098","1.7347970008850098"
"1900","75","75","75","1.7379297018051147","1.7379297018051147","1.7379297018051147"
"1950","77","77","77","1.735281229019165","1.735281229019165","1.735281229019165"
"2000","79","79","79","1.7362700700759888","1.7362700700759888","1.7362700700759888"
"2050","81","81","81","1.7336080074310303","1.7336080074310303","1.7336080074310303"
"2100","83","83","83","1.7317124605178833","1.7317124605178833","1.7317124605178833"
"2150","85","85","85","1.7353469133377075","1.7353469133377075","1.7353469133377075"
"2200","87","87","87","1.736466407775879","1.736466407775879","1.736466407775879"
"2250","89","89","89","1.7373108863830566","1.7373108863830566","1.7373108863830566"
"2300","91","91","91","1.7397739887237549","1.7397739887237549","1.7397739887237549"
"2350","93","93","93","1.739585280418396","1.739585280418396","1.739585280418396"
"2400","95","95","95","1.7376456260681152","1.7376456260681152","1.7376456260681152"
"2450","97","97","97","1.7367079257965088","1.7367079257965088","1.7367079257965088"
"2500","99","99","99","1.7408928871154785","1.7408928871154785","1.7408928871154785"
"2550","101","101","101","1.7391303777694702","1.7391303777694702","1.7391303777694702"
"2600","103","103","103","1.7432582378387451","1.7432582378387451","1.7432582378387451"
"2650","105","105","105","1.7427966594696045","1.7427966594696045","1.7427966594696045"
"2700","107","107","107","1.743368148803711","1.743368148803711","1.743368148803711"
"2750","109","109","109","1.7422157526016235","1.7422157526016235","1.7422157526016235"
"2800","111","111","111","1.7369338274002075","1.7369338274002075","1.7369338274002075"
"2850","113","113","113","1.742875099182129","1.742875099182129","1.742875099182129"
"2900","115","115","115","1.7446935176849365","1.7446935176849365","1.7446935176849365"
"2950","117","117","117","1.7421884536743164","1.7421884536743164","1.7421884536743164"
"3000","119","119","119","1.7521859407424927","1.7521859407424927","1.7521859407424927"
"3050","121","121","121","1.756915807723999","1.756915807723999","1.756915807723999"
"3100","123","123","123","1.7604366540908813","1.7604366540908813","1.7604366540908813"
"3150","125","125","125","1.7529152631759644","1.7529152631759644","1.7529152631759644"
"3200","127","127","127","1.7565102577209473","1.7565102577209473","1.7565102577209473"
"3250","129","129","129","1.7511976957321167","1.7511976957321167","1.7511976957321167"
"3300","131","131","131","1.7539399862289429","1.7539399862289429","1.7539399862289429"
"3350","133","133","133","1.7472641468048096","1.7472641468048096","1.7472641468048096"
"3400","135","135","135","1.7605178356170654","1.7605178356170654","1.7605178356170654"
"3450","137","137","137","1.7624385356903076","1.7624385356903076","1.7624385356903076"
"3500","139","139","139","1.7644935846328735","1.7644935846328735","1.7644935846328735"
"3550","141","141","141","1.755568027496338","1.755568027496338","1.755568027496338"
"3600","143","143","143","1.7687666416168213","1.7687666416168213","1.7687666416168213"
"3650","145","145","145","1.7589457035064697","1.7589457035064697","1.7589457035064697"
"3700","147","147","147","1.762233018875122","1.762233018875122","1.762233018875122"
"3750","149","149","149","1.7584081888198853","1.7584081888198853","1.7584081888198853"
"3800","151","151","151","1.7552921772003174","1.7552921772003174","1.7552921772003174"
"3850","153","153","153","1.7931617498397827","1.7931617498397827","1.7931617498397827"
"3900","155","155","155","1.7931479215621948","1.7931479215621948","1.7931479215621948"
"3950","157","157","157","1.7846918106079102","1.7846918106079102","1.7846918106079102"
"4000","159","159","159","1.781961441040039","1.781961441040039","1.781961441040039"
"4050","161","161","161","1.7952910661697388","1.7952910661697388","1.7952910661697388"
"4100","163","163","163","1.7904093265533447","1.7904093265533447","1.7904093265533447"
"4150","165","165","165","1.7851016521453857","1.7851016521453857","1.7851016521453857"
"4200","167","167","167","1.7830010652542114","1.7830010652542114","1.7830010652542114"
"4250","169","169","169","1.7938719987869263","1.7938719987869263","1.7938719987869263"
"4300","171","171","171","1.7836703062057495","1.7836703062057495","1.7836703062057495"
"4350","173","173","173","1.794862151145935","1.794862151145935","1.794862151145935"
"4400","175","175","175","1.7957974672317505","1.7957974672317505","1.7957974672317505"
"4450","177","177","177","1.7918246984481812","1.7918246984481812","1.7918246984481812"
"4500","179","179","179","1.7926349639892578","1.7926349639892578","1.7926349639892578"
"4550","181","181","181","1.7897999286651611","1.7897999286651611","1.7897999286651611"
"4600","183","183","183","1.792975902557373","1.792975902557373","1.792975902557373"
"4650","185","185","185","1.787171721458435","1.787171721458435","1.787171721458435"
"4700","187","187","187","1.851203441619873","1.851203441619873","1.851203441619873"
"4750","189","189","189","1.8523896932601929","1.8523896932601929","1.8523896932601929"
"4800","191","191","191","1.8556257486343384","1.8556257486343384","1.8556257486343384"
"4850","193","193","193","1.845103144645691","1.845103144645691","1.845103144645691"
"4900","195","195","195","1.8529349565505981","1.8529349565505981","1.8529349565505981"
"4950","197","197","197","1.8368641138076782","1.8368641138076782","1.8368641138076782"
"5000","199","199","199","1.8477171659469604","1.8477171659469604","1.8477171659469604"
"5050","201","201","201","1.833231806755066","1.833231806755066","1.833231806755066"
"5100","203","203","203","1.8396239280700684","1.8396239280700684","1.8396239280700684"
"5150","205","205","205","1.831773281097412","1.831773281097412","1.831773281097412"
"5200","207","207","207","1.833311676979065","1.833311676979065","1.833311676979065"
"5250","209","209","209","1.8300381898880005","1.8300381898880005","1.8300381898880005"
"5300","211","211","211","1.8330438137054443","1.8330438137054443","1.8330438137054443"
"5350","213","213","213","1.834543228149414","1.834543228149414","1.834543228149414"
"5400","215","215","215","1.8315479755401611","1.8315479755401611","1.8315479755401611"
"5450","217","217","217","1.8319638967514038","1.8319638967514038","1.8319638967514038"
"5500","219","219","219","1.8415048122406006","1.8415048122406006","1.8415048122406006"
"5550","221","221","221","1.9399216175079346","1.9399216175079346","1.9399216175079346"
"5600","223","223","223","1.9225791692733765","1.9225791692733765","1.9225791692733765"
"5650","225","225","225","1.9158293008804321","1.9158293008804321","1.9158293008804321"
