"train/global_step","./falcon_qwen_results_packing - _step","./falcon_qwen_results_packing - _step__MIN","./falcon_qwen_results_packing - _step__MAX","./falcon_qwen_results_packing - eval/loss","./falcon_qwen_results_packing - eval/loss__MIN","./falcon_qwen_results_packing - eval/loss__MAX"
"1950","77","77","77","1.4022866487503052","1.4022866487503052","1.4022866487503052"
"2000","79","79","79","1.4008874893188477","1.4008874893188477","1.4008874893188477"
"2050","81","81","81","1.400475263595581","1.400475263595581","1.400475263595581"
"2100","83","83","83","1.4001164436340332","1.4001164436340332","1.4001164436340332"
"2150","85","85","85","1.399761438369751","1.399761438369751","1.399761438369751"
"2200","87","87","87","1.3998082876205444","1.3998082876205444","1.3998082876205444"
"2250","89","89","89","1.400182843208313","1.400182843208313","1.400182843208313"
"2300","91","91","91","1.399743914604187","1.399743914604187","1.399743914604187"
"2350","93","93","93","1.3982458114624023","1.3982458114624023","1.3982458114624023"
"2400","95","95","95","1.397613525390625","1.397613525390625","1.397613525390625"
"2450","97","97","97","1.3960682153701782","1.3960682153701782","1.3960682153701782"
"2500","99","99","99","1.3951940536499023","1.3951940536499023","1.3951940536499023"
"2550","101","101","101","1.3962000608444214","1.3962000608444214","1.3962000608444214"
"2600","103","103","103","1.3934259414672852","1.3934259414672852","1.3934259414672852"
"2650","105","105","105","1.3956643342971802","1.3956643342971802","1.3956643342971802"
"2700","107","107","107","1.3946077823638916","1.3946077823638916","1.3946077823638916"
"2750","109","109","109","1.3937979936599731","1.3937979936599731","1.3937979936599731"
"2800","111","111","111","1.3919535875320435","1.3919535875320435","1.3919535875320435"
"2850","113","113","113","1.3921434879302979","1.3921434879302979","1.3921434879302979"
"2900","115","115","115","1.3915202617645264","1.3915202617645264","1.3915202617645264"
"2950","117","117","117","1.3912150859832764","1.3912150859832764","1.3912150859832764"
"3000","119","119","119","1.3911664485931396","1.3911664485931396","1.3911664485931396"
"3050","121","121","121","1.3911027908325195","1.3911027908325195","1.3911027908325195"
"3100","123","123","123","1.3910551071166992","1.3910551071166992","1.3910551071166992"
"3150","125","125","125","1.390148401260376","1.390148401260376","1.390148401260376"
"3200","127","127","127","1.3919785022735596","1.3919785022735596","1.3919785022735596"
"3250","129","129","129","1.3889464139938354","1.3889464139938354","1.3889464139938354"
"3300","131","131","131","1.3910497426986694","1.3910497426986694","1.3910497426986694"
"3350","133","133","133","1.3888851404190063","1.3888851404190063","1.3888851404190063"
"3400","135","135","135","1.388961672782898","1.388961672782898","1.388961672782898"
"3450","137","137","137","1.3877968788146973","1.3877968788146973","1.3877968788146973"
"3500","139","139","139","1.3908530473709106","1.3908530473709106","1.3908530473709106"
"3550","141","141","141","1.387825608253479","1.387825608253479","1.387825608253479"
"3600","143","143","143","1.3884271383285522","1.3884271383285522","1.3884271383285522"
"3650","145","145","145","1.3874707221984863","1.3874707221984863","1.3874707221984863"
"3700","147","147","147","1.3870375156402588","1.3870375156402588","1.3870375156402588"
"3750","149","149","149","1.3884072303771973","1.3884072303771973","1.3884072303771973"
